DesignName,ParticipantID,TrialID,Block1,c,m,s
RegressionByEye,1,1,1,line,n_0_8,b_0_05
RegressionByEye,1,2,2,area,p_0_2,b_0_05
RegressionByEye,1,3,3,area,n_0_1,b_0_1
RegressionByEye,1,4,4,area,n_0_1,b_0_05
RegressionByEye,1,5,5,line,p_0_1,b_0_1
RegressionByEye,1,6,6,scatter,p_0_2,b_0_15
RegressionByEye,1,7,7,area,n_0_1,b_0_2
RegressionByEye,1,8,8,scatter,p_0_2,b_0_2
RegressionByEye,1,9,9,scatter,p_0_1,b_0_05
RegressionByEye,1,10,10,line,n_0_1,b_0_05
RegressionByEye,1,11,11,line,p_0_1,b_0_05
RegressionByEye,1,12,12,scatter,p_0_4,b_0_15
RegressionByEye,1,13,13,line,n_0_1,b_0_2
RegressionByEye,1,14,14,area,p_0_1,b_0_1
RegressionByEye,1,15,15,area,n_0_2,b_0_1
RegressionByEye,1,16,16,line,n_0_4,b_0_2
RegressionByEye,1,17,17,line,n_0_2,b_0_2
RegressionByEye,1,18,18,scatter,p_0_2,b_0_05
RegressionByEye,1,19,19,line,n_0_1,b_0_1
RegressionByEye,1,20,20,scatter,p_0_2,b_0_1
RegressionByEye,1,21,21,scatter,n_0_8,b_0_2
RegressionByEye,1,22,22,line,n_0_8,b_0_15
RegressionByEye,1,23,23,scatter,p_0_8,b_0_05
RegressionByEye,1,24,24,area,n_0_8,b_0_05
RegressionByEye,1,25,25,area,n_0_8,b_0_15
RegressionByEye,1,26,26,scatter,p_0_8,b_0_1
RegressionByEye,1,27,27,line,p_0_8,b_0_05
RegressionByEye,1,28,28,area,p_0_2,b_0_1
RegressionByEye,1,29,29,area,n_0_8,b_0_2
RegressionByEye,1,30,30,area,p_0_8,b_0_1
RegressionByEye,1,31,31,line,n_0_2,b_0_1
RegressionByEye,1,32,32,area,n_0_1,b_0_15
RegressionByEye,1,33,33,scatter,p_0_4,b_0_2
RegressionByEye,1,34,34,line,p_0_2,b_0_05
RegressionByEye,1,35,35,area,n_0_4,b_0_15
RegressionByEye,1,36,36,area,p_0_4,b_0_1
RegressionByEye,1,37,37,line,p_0_4,b_0_1
RegressionByEye,1,38,38,scatter,n_0_8,b_0_15
RegressionByEye,1,39,39,scatter,n_0_4,b_0_05
RegressionByEye,1,40,40,area,n_0_2,b_0_2
RegressionByEye,1,41,41,scatter,p_0_8,b_0_2
RegressionByEye,1,42,42,area,p_0_2,b_0_15
RegressionByEye,1,43,43,line,p_0_4,b_0_2
RegressionByEye,1,44,44,line,p_0_1,b_0_15
RegressionByEye,1,45,45,line,p_0_8,b_0_2
RegressionByEye,1,46,46,line,p_0_4,b_0_15
RegressionByEye,1,47,47,scatter,n_0_8,b_0_05
RegressionByEye,1,48,48,area,n_0_4,b_0_05
RegressionByEye,1,49,49,scatter,n_0_2,b_0_1
RegressionByEye,1,50,50,area,p_0_8,b_0_15
RegressionByEye,1,51,51,line,p_0_1,b_0_2
RegressionByEye,1,52,52,scatter,n_0_8,b_0_1
RegressionByEye,1,53,53,line,n_0_8,b_0_2
RegressionByEye,1,54,54,area,p_0_1,b_0_2
RegressionByEye,1,55,55,area,n_0_2,b_0_05
RegressionByEye,1,56,56,scatter,n_0_2,b_0_2
RegressionByEye,1,57,57,scatter,n_0_4,b_0_1
RegressionByEye,1,58,58,area,p_0_8,b_0_2
RegressionByEye,1,59,59,scatter,n_0_2,b_0_15
RegressionByEye,1,60,60,line,n_0_8,b_0_1
RegressionByEye,1,61,61,line,p_0_2,b_0_1
RegressionByEye,1,62,62,area,n_0_8,b_0_1
RegressionByEye,1,63,63,line,n_0_4,b_0_05
RegressionByEye,1,64,64,scatter,n_0_1,b_0_05
